Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
1275,SAGAR,99,RABI,HORTICULTURE,MADHYA PRADESH,how to control flower drop in bottelgourd,spray planofix4mlpump
964,SAGAR,Disease Management,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how tyo control diseases in buffalo,
1279,SAGAR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control fruit borer in brinjal,should be spray profenophos 35mlpump
1064,SAGAR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control of yellow moisac in moong,should be spray metasystox 35mlpump
1279,DAMOH,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control white fly in brinjal,should be spray metasystox 35mlpump
Wheat,DAMOH,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control termite in wheat,use chlorpyrephos1lithactwith the help of irrigation
Chillies,JABALPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control chilli thrips,sprey cypermethrin15 mlpump
964,JABALPUR,Dairy Production,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how to increase milk in buffalo,use gylox 20 gm twice a day
1275,JABALPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control sucking pest in bottle gourd,shhould be spray metasystox 35mlpump
Soybean bhat,JABALPUR,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the semilooper in the soybean ,apply the qunalphos  300 ml per acre 
2108,MANDLA,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in tomato,should be spray mancozeb 35mlpump
Sunnhemp Patua,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the pest in sugarcane ,spray of the quinalfos  10  granule 10-15 kgha
Sunflower suryamukhi,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Bihar hairy caterpillar ,Chlorpyriphos 20 EC  15 lithaOR Trizophos 40 EC  08 LithaOR Quinolphos 25 Ec  15 lithaOR Methomyl 40 SP  100ghaOR Ethion 50 EC 15 litha OR Ethofenprox 10 EC  1 litha
1818,MANDLA,3,RABI,AGRICULTURE,MADHYA PRADESH,what are control of cow pea mosaic ,spray trizophose  30 ml pump
Saffron,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Tobacco caterpillar ,Deltarnathrin 28 EC  750 mlhaor Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
Coriander,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the insect in coriander ,Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
Cabbage,MANDLA,78,,HORTICULTURE,MADHYA PRADESH,what is the important varieties of the cabbage for the madhya pradesh ,pusa mukta pride of india ganga kaveri and yamuna are the important varieties of the cabbage for the madhya pradesh
Soybean bhat,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,how to control yellow moisac in moong,apply the qunalphose  300 ml per acre 
1064,HOSHANGABAD,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control shoot and fruit borer in brinjal,should be spray metasystox 35mlpump
1279,HOSHANGABAD,76,RABI,HORTICULTURE,MADHYA PRADESH,how to contro yellow moisac in moong,should be spray metasystox 35mlpump
1279,HOSHANGABAD,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control powdery mildew in bottle gourd,should be spray cyper methrin 30-35mlpump
1064,HOSHANGABAD,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control weed in field,should be spray metasystox 35mlpump
1275,HOSHANGABAD,75,RABI,HORTICULTURE,MADHYA PRADESH,what are control of cauliflower yellow leaf ,should be spray wetable sulfar 16mlpump
Others,HOSHANGABAD,22,RABI,AGRICULTURE,MADHYA PRADESH,how to control sucking pest in moong,should be spray glyphoset 15litreha
1289,NARSIMPUR,75,JAYAD,HORTICULTURE,MADHYA PRADESH,what is the control of the Termites ,spray trizophose  40 ml pump
1275,NARSIMPUR,75,RABI,HORTICULTURE,MADHYA PRADESH,how to copntrol caterpillar in aonla,should be spray  wetable sulphar 16mlpump
1279,NARSIMPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to controlsucking pest in moong,should be spray metasystox 35mlpump
Indian rapeseed and mustard yellow sarson,NARSIMPUR,3,,AGRICULTURE,MADHYA PRADESH,how to contol of altenariya leasf spot in cotton,Application of Chlorpyriphos or Carbofuran granules into the soil before sowing Or Seed treatment with chlorpyriphos  4mlkg of seed or Endosulfan  7mlkg of seed Spray insecticides like polytrin C44EC at the rate of 1000 mlha
